name,subheading,desc,quote,servings,time,difficulty,category,tips,id
Chocolate truffle chestnut torte,With honeycomb,A decadent chocolate torte recipe so rich you’ll only need a little slice! Chocolate truffle dessert topped with honeycomb – a showstopper from Jamie Oliver,"“A decadent torte so rich you’ll only need a little slice! This recipe makes more honeycomb than you’ll need, but leftovers will store for a week in an airtight container. ”",12,1 hour 10 minutes plus chilling,Showing off,chocolate-recipes,,173
Mixed nut & honey baklava,Sweet filo pastry treats,,"“This Greek classic is a heady combination of nuts, honey, citrus and spices, sandwiched between crispy filo layers ”",24,1 hour 20 minutes,Not too tricky,fruit-recipes,,174
Gluten-free biscotti,With pistachio & rose,This gluten free biscotti recipe is perfect for Christmas; Jamie's biscotti with pistachio and rose is the perfect festive treat that everyone can enjoy.,“These gluten-free Italian biscuits are the perfect Christmas treat ”,24,1 hour plus cooling,Super easy,chocolate-recipes,,175
Chocolate Guinness Cake,,"This delicious chocolate Guinness cake recipe from Jamie Oliver is perfect for St Patrick's day. It's a grown-up chocolate cake, with plenty of dark chocolate, Guinness, and a tangy sour cream icing. Yum!","“With a heady mix of Guinness and chocolate, this cake is a grown-up treat. Rich and dark, the velvety bitterness of the Guinness brings out the flavour of the chocolate, so it packs a punch, while lending the sponge a subtle tang. The richness is balanced by the sweetness of the sour cream icing, which makes the cake look like the famous Irish stout – black with a creamy head. Cheers! ”",10,1 hour 10 minutes,Not too tricky,chocolate-recipes,,176
Avocado ice cream,,"This delicious avocado ice cream recipe from Jamie Oliver is the ultimate, refreshing dessert that is a beautiful texture and leaves a delightful taste.","“Avocado is a fruit, and it gives this silky treat a wonderful colour and gorgeous texture, thanks to its fat content. Feel free to add nuts, chocolate or spices. ”",1 litre,20 minutes plus freezing,Not too tricky,fruit-recipes,,177
Brigadeiros,Super-easy to prepare,"Brigadeiros are a bit like chocolate truffles with a Brazilian twist. They’re made from  They’re super-quick and easy to make, too - give this recipe a go this weekend!","“Brigadeiros were created by the wife of Brigadier Eduardo Gomes, who was a presidential candidate in the 1940s. She would serve the truffles at his fundraising events, and guests loved them . ”",20,,Not too tricky,sweets-recipes,,178
Gluten-free blondies,"Gooey, delicious & dairy-free too!","Gluten-free, dairy-free or vegan? These deliciously gooey blondies are for you – and anyone you choose to share them with! They're super easy to make too. Perfect.",“Using honey and soya yoghurt makes these blondies super sticky in the centre. Make them vegan by changing the honey to maple syrup ”,12,45 minutes,Super easy,chocolate-recipes,,179
Toffee apple tart,,"A quick and easy dessert recipe from Jamie Oliver. This toffee apple tart is packed with warm caramel, plus it shows you how to make pastry from scratch.","“This is a fantastic dessert that I love to make for friends and family as they can’t get enough of it. The combination of toffee and apples is a fairground classic but feel free to try it with pears, bananas, even strawberries – they’re all absolutely delicious! ”",8,3 hours plus chilling,Not too tricky,fruit-recipes,,180
Smoothie ice lollies,Sweet treats for the kids,Smoothie ice lollies make really healthy children's treats in the summer; or for a naughtier option try coating them in chocolate - wow!,"“These lollies with fresh and frozen fruit, oats, juice and chocolate are perfect for the holidays ”",12,20 minutes plus freezing time,Super easy,fruit-recipes,,181
Cambridge burnt cream,,"The British version of the crème brulee, the Cambridge burnt cream is a delicious dessert that is the perfect way to impress at any dinner party.",,6,1 hour plus chilling,Not too tricky,eggs-recipes,,182
Lovely lemon curdy pud,Pleasingly gooey and spongy,"This lemon curd pudding recipe by Jamie Oliver makes a lovely dessert, with layers of lemon curdy custard and a spongy meringue top.","“This comforting lemon pudding looks great, tastes amazing and is totally hassle free – I love it. It looks good cooked in a clear dish, as it goes into layers as it cooks, with a sort of lemon curdy custard at the bottom and a spongy meringuey top. Mmmmmmm... Very delicious! ”",4,55 minutes,Super easy,fruit-recipes,,183
King of puddings,"With meringue, custard and jam","Forget the queen of puddings recipe and check out Jamie's king of puddings full of custard, jam and meringue.","“This pudding is a kind of mash-up of loads of good-old favourites with lovely goo, fruit and crunch ”",4,1 hour 35 minutes,Super easy,eggs-recipes,,184
Gluten-free citrus shortbread,A teatime treat everyone can enjoy,"This zesty lemon, orange and lime gluten-free shortbread recipe is perfect for afternoon tea with your favourite hot drink.",“This melt-in-the-mouth gluten-free treat is perfect for afternoon tea with your favourite hot drink.  ”,20,30 minutes,Super easy,fruit-recipes,,185
Hummingbird cake,Treat yourself!,"Jamie's hummingbird cake recipe is simply delicious; packed with banana, pineapple and topped with zesty cream cheese and a crunchy pecan brittle.","“Quite simply, this beautiful cake is bloody delicious – bake it, and get it in your gob. Light fluffy sponge with banana and pineapple galore, a crunchy dusting of pecan brittle, and a little reminder that zesty cream cheese icings rock – it’s near perfection. For special occasions, to treat your loved ones, or purely for those moments when you just need a good slice of cake, this hummingbird beauty is guaranteed to hit the spot. ”",14,1 hour,Showing off,fruit-recipes,,186
Humble stone-fruit crumble,With strawberry & ginger,,“I’ve given this fruit crumble a little twist by adding stem ginger and porridge oats to make the best crumble mix ever ”,6,1 hour 20 minutes,Super easy,fruit-recipes,,187
Treacle tart,,"When you need a real crowdpleaser of a pud, you can't go wrong with a classic British treacle tart. Sweet and satisfying, this gooey but crunchy tart is such a treat! ",,12,1 hour 10 minutes plus chilling,Not too tricky,uncategorised-recipes,,188
Christmas colchester pudding,"Berry compote, zesty tapioca & pink meringue","Wow your guests with this show-stopper of a pud – Christmas colchester pudding is a magic alternative to the traditional trifle. Try colouring your meringue for an extra special, festive twist. ","“Wow your guests with this show-stopper of a pud – a magic alternative to the traditional trifle. Try colouring your meringue for an extra special, festive twist.   ”",12,1 hour 50 minutes plus soaking and chilling,Showing off,fruit-recipes,,189
Grilled strawberries with Pimm's,With a hum of ginger & vanilla,This quick and easy strawberry dessert recipe from Jamie Oliver is a crowd-pleaser. A great strawberry recipe for a dinner party or a barbecue,"“Grilling fruit is a really easy way to bring out a wicked caramelly flavour, and it’s also a lovely way to use fruit if it’s a little past its best. Pimm’s and strawberries are an iconic duo, and they do not disappoint here. With a little kick from the stem ginger, it’s an all-round flavour party! ”",4,15 minutes,Not too tricky,fruit-recipes,"Making your own vanilla sugar couldn’t be simpler. Place 2 vanilla pods in a food processor, blitz, scrape the sides and blitz again. Add 500g caster sugar and blitz for 2 minutes, or until super-fine. Sieve the mixture and store in an airtight container – it should last for ages.",190
Epic chocolate and beetroot cake,A cheeky little twist on every child’s favourite treat,Ask the kids to help you make this Epic chocolate and beetroot cake - we think they might just agree! The recipe is so simple to follow too. Put the oven on!,"“This is a fantastic baking recipe to do with kids and let’s face it, what kid doesn’t love chocolate cake?  ”",16,1 hour 30 minutes plus cooling,Not too tricky,chocolate-recipes,"Flavour-wise beetroot is sweet, which is why it works really well in cakes even though it's a vegetable. You can grate it by hand using a box grater, if you prefer, depending on how much time you have.Measuring the ingredients exactly is the key to success, so accurate scales are a very important piece of equipment. Make sure the scales are set to zero before you start.",191
Raw chocolate cake,,"This raw chocolate cake recipe is like a grown-up version of a regular chocolate cake. Made from pecan nuts, toffee-like medjool dates, honey, cacao, and topped off with chocolate icing.","“This cake is pure indulgence. If you can get your hands on some bee pollen, I highly recommend it for its intense burst of honey flavours and satisfying crunch.  ”",16,25 minutes plus chilling time,Not too tricky,chocolate-recipes,"Note You can find raw cacao (cocoa) powder and butter at chocchick.com. Dark agave nectar has a denser flavour than amber, making it great for raw recipes.",192
Magnificent marshmallows,Choose your flavour,Jamie's marshmallow recipe is magnificent; flavoured with natural extracts they make great gifts; learn how to make marshmallows with Jamie today!,"“Making and serving marshmallows is just one of those therapeutic, fun things to do. It’s kind of weird, but feels like magic! This is a precise recipe, so make sure you read through the method carefully before you start, get all your ingredients weighed out and get your equipment ready to go. You’ll be working with hot sugar and syrups, so it’s best to keep your kids out of the kitchen until those marshmallows are cooling, ready to eat. ”",32 pieces,50 minutes plus cooling,Not too tricky,egg-recipes,,193
Frozen fruit & almond crumble,With a squeeze of orange,"A beautiful mixed fruit crumble recipe from Jamie Oliver. This is full of berries, cherries and flaked almonds for Bakewell tart vibes! Just add custard.","“Fresh fruit isn’t the only way to make a crumble, in fact frozen fruit is a gamechanger – try it and see for yourself. ”",8,45 minutes,Not too tricky,fruit-recipes,,194
Black forest frozen cheesecake,The ultimate treat,"Jamie's black forest cheesecake is a mouth-watering, rich, chocolatey dessert; make it yourself with this easy to follow, cheesecake recipe online today.",“This is a great make-ahead dessert that will definitely impress your guests! ”,18,1 hour 30 minutes plus freezing overnight,Not too tricky,chocolate-recipes,,195
Simple chocolate tart,,"A beautiful chocolate dessert recipe that will wow your guest. This Jamie Oliver dessert recipe is great on its own, or served with sweet seasonal berries.","“This chocolate tart is great for those chocofreaks who turn up out of the blue, as it is dead quick to make. I think this particular tart cries out for a slightly thicker pastry shell. The better the chocolate you can buy, the tastier it will be. ”",16,,Not too tricky,chocolate-recipes,,196
Dutch baby pancakes with roasted plums,,"Follow this easy Dutch pancake recipe from Jamie Oliver to create your own Dutch Baby Pancakes with Roasted Plums, a lovely treat for a weekend brunch. ","“Also known as German pancakes, these oven-baked delights puff up like sweet Yorkshire puddings. ”",2,50 minutes,Super easy,fruit-recipes,,197
Jamie's baked figs,Plus a few brilliant ways to enjoy them,"There are loads of ways to enjoy Baked Figs, especially at Christmas time; for inspiration check out Jamie's baked fig recipes including fig bruschetta.",“This baked figs recipe is a festive favourite of mine – incredible on bruschetta with goat's cheese ”,8,4 hours 5 minutes,Super easy,fruit-recipes,,198
Cardamom clementine morning buns,"Spices & citrus in a buttery, flaky dough","Perfect for the Christmas holidays, this morning bun recipe, livened up with citrus and spice, are a real festive treat.","“An indulgent croissant-cinnamon bun hybrid, spiced with the season’s most fragrant citrus. Make these the day before and bake in the oven for a lazy Christmas Eve morning. The dough takes a little planning, but you’ll be surprised how simple it really is. ”",12,1 hour 35 minutes plus chilling and proving,Not too tricky,bread-recipes,,199
Watermelon granita,"With ginger syrup, cool natural yoghurt & mint","This granita recipe is a brilliant summer pud. Fruity watermelon, fresh mint, ginger & cool natural yoghurt. Yum! As seen on Jamie Oliver’s Quick & Easy.",,8,"14 minutes (14 minutes prep, 8 hour freeze)",Not too tricky,fruit-recipes,,200
Spiced doughnuts,Hot cross buns in doughnut form,"You’ve got to try this recipe – our genius half-doughnut, half-hot-cross-bun hybrids make the perfect Easter treat. They taste amazing, and make a great centrepiece, too. ","“A fun spin on a holiday favourite, these zesty, spiced doughnuts are a perfect spring treat ”",24,1 hour 30 minutes,Showing off,bread-recipes,,201
Buckwheat crepes with poached apple & pear,Simple and comforting,This is a crepe recipe you will want to make time and time again; Jamie's Buckwheat Crepes recipe with a poached Apple and Pear is simply delicious!,"“This French-style pancakes recipe works a treat with sweet or savoury fillings, any time of day ”",8,20 minutes plus chilling time,Super easy,fruit-recipes,,202
Jools’ favourite smoothies & ice lollies,"Simple smoothies you can freeze into delicious ice lollies, if you like","Discover Jools' selection of fruit smoothies and ice lollies, find healthy and delicious frozen treats that are perfect for the whole family.","“These are two of my favourite recipes, but feel free to have fun experimenting with different flavours ”",4,10 minutes plus overnight freezing,Super easy,fruit-recipes,"If making for you baby, serve for pudding with an extra spoon of yoghurt.  For more information on stages of complementary feeding, click here",203
Bloomin' brilliant brownies,"Rich dark chocolate, nuts & sour cherries","This easy brownie recipe from Jamie Oliver never disappoints. It's totally foolproof, and packed with dark chocolate, chopped  nuts, cocoa powder and sour cherries. Perfect for weekend baking.","“This is a great little recipe for easy, fail-safe, gloriously gooey chocolate brownies ”",20,40 minutes plus chilling time,Super easy,chocolate-recipes,,204
Devil's double choc malt cookies,With Maltesers & white chocolate,"Who can resist Jamie Oliver's Devil's double choc malt cookies? Chocolaty and crispy but chewy in the middle, they're super easy to make too – time to get baking!","“I was very young when the realisation of the joy of the cookie hit me. I’ve never really met anyone that doesn’t like a freshly baked cookie, and if anything, since I was a kid it’s just become easier to get pre-made commercial, average, frankly boring cookies. So for me, baking your own is the only way to pass that perfection down the family to the next generation. The problem is, what flavour to choose – there’s so many. Well, I’ve made it easy for you – this, in my view, is the best flavour combo. Bake these, and your face will hurt because you’ll be smiling, chewing and gurning for another one. ”",24,40 minutes plus chilling,Super easy,chocolate-recipes,,205
Gluten-free apple Christmas cake,Spiced with lots of Christmas favourites,Looking for a gluten free Christmas cake recipe? Look no further than Jamie's gluten free apple Christmas cake spiced with all of our Christmas favourites.,"“This gluten-free cake will really get you in the festive spirit, with sweet apples, cinnamon, ginger and nutmeg ”",12,1 hour 20 minutes,Super easy,fruit-recipes,,206
Chai spiced carrot cake,"Pecans, lemon & candied ginger","If you like carrot cake, you’ll love this chai-spiced traybake recipe from Bake Off winner Edd Kimber. Perfect with a cuppa, or give it as a gift. Yum!","“If you love carrot cake, you’ll adore this chai-spiced version, with warming tea and fragrant cinnamon, cardamom, cloves and nutmeg. ”",10,1 hour 20 minutes plus chilling,Not too tricky,vegetables-recipes,,207
My Nan's St. Clement's cake,Oranges & lemons,This zesty St Clement's cake from Jamie Oliver is based on his nan's recipe. Oranges and lemons give it a lovely zing with the lemon icing seeping into the orange-flavoured sponge. Gorgeous.,"“This cake reminds me of my nan and is as sweet and lovely as you’d want it to be. The icing that seeps into the sponge adds flavour, and once the top layer firms up it becomes a sherbety, citrusy delight. If you really smother the cake well, it will help to keep it nice and moist for quite some time. This recipe also makes the sweetest little cupcakes. ”",12,50 minutes plus cooling,Super easy,fruit-recipes,,208
Marmalade cake,,"A delightfully cheap and easy to make marmalade cake recipe that has beautiful zesty flavours along with a sticky, sweet topping and is best served warm.","“This sticky orange cake is a joy, and it’s simple to make. Even better, it contains mostly pantry ingredients, so is pretty cheap to make. ”",10,1 hour 10 minutes,Not too tricky,fruit-recipes,,209
Key lime pie,,"Enjoy this authentic key lime pie recipe with this easy to follow guide, create a delightfully sweet, perfectly tart, dessert that epitomises indulgence.",,10,45 minutes plus refrigerating,Not too tricky,fruit-recipes,,210
"Tangerine, chocolate & vanilla salad",With almonds and mint leaves,"For a vibrant and refreshing tangerine dessert try this tangerine, chocolate and vanilla salad with toasted almonds and fresh mint.","“This vibrant, refreshing pud looks beautiful on the plate and is really simple to prepare. If you can’t get tangerines, use clementines or satsumas in their place. ”",4,15 minutes,Super easy,fruit-recipes,,211
Plum crumble with rolled oats,"With kiwi fruit, apple and ginger",This fruity plum crumble recipe is sure to be a big hit when you serve it up after your Sunday lunch; made with rolled oats and seasonal fruit.,"“I love the stickiness of the fruit filling combined with the chewy, crunchy top of this plum crumble ”",8,1 hour,Super easy,fruit-recipes,,212
Hazelnut torte,A classic Italian dessert coated in grated chocolate,"This hazelnut torte recipe makes a classic Italian dessert that is truly delicious, with ricotta cheese, jam, a grated chocolate coating and hazelnuts!","“This is one of the very first puddings I made when I started working, and I still love it! ”",10,1 hour,Super easy,uncategorised-recipes,,213
My Nan's Christmas pud with Vin Santo,Mixed dried fruit & chopped nuts,"Jamie's Christmas pudding recipe with mixed dried fruit, nuts and Vin Santo won't let you down; it's lighter and more delicious than those heavy old puds!","“This light, fruity Christmas pudding recipe makes buying one from the shops a thing of the past. ”",8,3 hours 15 minutes,Super easy,fruit-recipes,,214
Pineapple & coconut cake,,,,10 to 12,1 hour 30 minutes plus cooling,Super easy,fruit-recipes,,215
Best-ever fruit crumble,A guaranteed crowd pleaser,Everybody loves an old-fashioned Fruit Crumble and you can't go wrong with Jamie's Best Ever Fruit Crumble recipe - it's delicious and easy to make!,"“As much as I love it with apples, a pear crumble with a bit of spicy ginger makes a lovely change ”",6,55 minutes,Super easy,fruit-recipes,,216
Jemma's PB & J Cupcakes,For you peanut butter & jam lovers,Cupcake Jemma's wickedly simple peanut butter and jam cupcakes look incredible and will amaze your friends,“These wickedly simple peanut butter and jam cupcakes look incredible and will amaze your friends  ”,24,50 minutes plus cooling,Not too tricky,fruit-recipes,,217
Vegan chocolate pots,"With lime, vanilla, rum & chilli","Vegan desserts can be uninspiring, but this silky vegan chocolate recipe for an indulgent chocolate pot is anything but! The chilli and sea salt is epic.","“With tofu and dairy-free chocolate, these are a tasty vegan twist on regular chocolate mousse. ”",6,10 minutes plus chilling,Super easy,chocolate-recipes,"Try serving your chocolate pots with shavings of dairy-free dark chocolate, or bash up your favourite crunchy biscuits or nuts and sprinkle them on top.",218
Dairy-free vanilla ice cream,Smooth and indulgent,Dairy intolerant? Look no further than Jamie's dairy-free ice cream recipe for smooth and indulgent dairy-free coconut milk ice cream every time. Delicious!,“My dairy-free twist on classic vanilla ice cream ”,4,35 minutes plus freezing,Super easy,fruit-recipes,,219
Classic spotted dick,Serve with a generous dollop of custard,"Spotted dick is a classic British pudding often served with a large dollop of custard; Jamie Oliver's spotted dick recipe is fruity, spongey and comforting.","“You can’t beat an old-school pudding like this one – melt-in-your-mouth sponge with a good old helping of custard, this is as British as it gets! ”",8,2 hours,Not too tricky,fruit-recipes,,220
Chocolate clementine torte,Dark & indulgent,"This delicious chocolate cake recipe is actually a super grown up chocolate torte recipe from Jamie Oliver. It's decadent, elegant and rich – a perfect pud.","“It wouldn’t be Christmas without an amazing chocolate dessert and this one – inspired by the River Café’s Chocolate Nemesis – is a complete game changer.  It’s so rich and silky that you’ll only want a little slice, but your guests will go mad for it. Hands down delicious! ”",16,"50 minutes (10 minutes prep, 40 minutes cook, plus cooling)",Not too tricky,chocolate-recipes,,221
Vegan ginger cupcakes,Vegan tea-time treats,A brilliant vegan ginger cupcake recipe from Jamie Oliver; these vegan cupcakes are topped with a decadently rich cream cheese topping.,"“Simple spiced cupcakes, topped with a deliciously rich cream cheese icing ”",12,35 minutes plus cooling,Super easy,bread-recipes,,222
Chocolate cherry hot cross buns,,"Enjoy this twist on a classic with Jamie's chocolate cherry hot cross buns, this Easter classic has milk chocolate, cherries and kirsch, what's not to love?","“Milk chocolate, cherries, kirsch – what’s not to love? ”",12,1 hour plus proving time,Not too tricky,chocolate-recipes,,223
Chocolate surprise truffles,Rolled in toasted hazelnuts and cocoa,These chilli chocolate truffles make great little surprise gifts; just wrap them up and bob them in sweet tins or boxes tied with ribbon and you're away.,"“These chocolate truffles make great gifts, and a pinch of chilli in one or two spices things up  ”",about 40,25 minutes plus chilling time,Super easy,chocolate-recipes,,224
Lemon & rosemary cakes,,"Try these delicate cakes from Jamie Oliver as a gorgeous teatime treat, with fresh rosemary adding a lovely fragrant note to the citrusy lemon.","“These delicate cakes make a gorgeous teatime treat, with rosemary adding a lovely fragrant note.  ”",12,45 minutes,Not too tricky,uncategorised-recipes,,225
Roasted pear with walnut & ginger filling,,"If you're having a dinner party this Christmas try this roasted pear recipe with a walnut and ginger filling, a great fruity and festive vegan starter. ","“This vegan starter is the perfect way to kick off Christmas dinner. If you’re making this for vegetarians, it’s lovely with 80g blue cheese added at step 3. ”",4,50 minutes plus cooling,Not too tricky,fruit-recipes,,226
Roasted grapes with cheese,"Sweet grapes, melted cheeses, crispy sage","Jazz up your cheeseboard with this unusual recipe for roasted grapes with cheese from Jamie Oliver, it's the perfect way to end you next dinner party. ","“The sweet-sourness of the roasted grapes in this dead-easy dish complement the beautiful cheeses perfectly. Teamed with crispy sage, crunchy walnuts and hunks of fresh bread, this is an outright winner, every time. ”",8,25 minutes,Super easy,fruit-recipes,,227
Delicious chocolate mousse,With sour cherries and bashed-up sesame snaps,"A gorgeous gluten-free chocolate mousse recipe from Jamie Oliver. With sour cherries and Amaretto, this is a grown-up twist on everybody’s favourite indulgent chocolatey dessert.","“This chocolate mousse recipe is chock full of delicious, little-bit-naughty ingredients ”",10,30 minutes plus chilling time,Super easy,chocolate-recipes,,228
"Summer fruit, elderflower and Prosecco jelly",Mega light and fresh,"Jamie's summer fruit, elderflower and prosecco jelly recipe makes a tasty dessert - the prosecco bubbles will fizz in your mouth deliciously as you eat it!",“This easy elderflower jelly recipe is loaded with seasonal fruit and tonnes of summer flavours ”,10,10 minutes plus chilling and setting time,Super easy,fruit-recipes,,229
Vanilla custard,The perfect partner for any pud,"An easy step-by-step recipe for proper custard from Jamie Oliver. Custard is the perfect accompaniment to loads of puds, but especially fruit crumble!",“Is there anything nicer than a silky smooth homemade custard? This one is flavoured with gorgeous fresh vanilla and couldn’t be easier to make. Awesome with a classic crumble. ”,4 - 6,35 minutes,Not too tricky,egg-recipes,"Don’t panic if your egg starts to scramble – simply take it off the heat and pour the custard into a bowl to cool, then strain through a sieve to remove any lumps. Job done!",230
Cranberry bakewell,,"In this cranberry bakewell tart recipe Jamie Oliver gives the English classic a Christmassy twist, bringing a subtle tang from cranberries and orange.",“This Christmassy take on the buttery English classic has a subtle tang from the cranberries and orange. ”,16,1 hour 40 minutes plus chilling,Not too tricky,fruit-recipes,,231
Butternut squash muffins with a frosty top,A perfect naughty-but-nice treat,This butternut squash muffins recipe is easy and delicious; they taste a bit like carrot cake and are a great way to get your kids to eat some squash! ,“These muffins are a great way to get the kids eating squash and taste absolutely delicious ”,12,35 minutes plus cooling time,Super easy,vegetables-recipes,,232
Double ginger cake,,A delightful double ginger cake recipe that is super easy to create and perfect for afternoon tea; visit Jamie Oliver online today and create it yourself.,,10,1 hour 20 minutes plus cooling,Super easy,uncategorised-recipes,,233
Chocolate tiramisu,"Inspired by classic tiramisù, with a double dose of chocolate",This recipe for chocolate tiramisu is inspired by classic tiramisu but uses homemade chocolate sponge for the base and white chocolate to add sweetness.,“My double chocolate tiramisù is ramped up a notch with chocolate sponge and extra white chocolate ”,12,30 minutes plus cooling time,Super easy,chocolate-recipes,,234
"Lemon, lime and peppermint sorbet",Refreshing and beautifully light,"This is lemon sorbet recipe with a difference! Combining lemon, lime and fresh peppermint, this sorbet recipe makes a refreshing treat on a summer's day.","“You can knock up this delicate lemon sorbet from scratch in minutes, then just freeze and enjoy ”",4,15 minutes plus freezing time,Super easy,fruit-recipes,,235
Almond & honey dairy-free ice cream,With a splash of amaretto,Try this really easy dairy-free ice cream recipe from Georgina Hayden for Jamie magazine – perfect for vegans or those with food intolerances as it is also gluten-free.,“A brilliantly easy and super-tasty dairy- and gluten-free ice cream.  ”,1.5 litres,15 minutes plus freezing,Not too tricky,dessert-recipes,,236
Spiced flapjacks,,Give your flapjacks a festive makeover this Christmas with this spiced flapjacks recipe from Jamie Oliver; treat your loved ones this Christmas.,"“This nutty, spiced slice is super quick and easy to whip up – and as it bakes it will fill your kitchen with amazing Christmassy smells. ”",12,55 minutes,Not too tricky,uncategorised-recipes,,237
Queen of puddings,,,,6,1 hour 20 minutes,Not too tricky,uncategorised-recipes,,238
Good old bread & butter pudding with a marmalade glaze & cinnamon & orange butter,"A proper, comforting pudding","A delicious bread and butter pudding with marmalade, the perfect after dinner treat Jamie's bread pudding recipe is an all round crowd pleaser!",“Everyone loves a classic bread and butter pudding and the marmalade gives this one zing. ”,8,1 hour 30 minutes,Super easy,bread-recipes,,239
Banoffee sundae,With homemade banana ice cream,"Jamie's Banoffee Sundae Recipe makes a delicious dinner party pudding, with bananas, toffee sauce, rum, hazelnuts and home-made ice-cream!",“The amazing ice cream makes this banoffee sundae great for parties and it's a doddle to make ”,6,25 minutes,Super easy,fruit-recipes,,240
Gluten-free chocolate brownies,"Gooey, delicious & vegan too","Looking for a gluten free brownie recipe? Look no further than Jamie Oliver's gooey, delicious gluten free chocolate brownie recipe - they're vegan too!","“Aduki beans are used in Japan to make a creamy paste called anko, here they form the base of these deliciously gooey brownies. Serve them warm for choccy heaven! ”",9,1 hour 20 minutes,Super easy,chocolate-recipes,,241
Simplest fruit salad,With almonds and poppy seeds,This fruit salad recipe might be simple but you will still want to enjoy it every day! Use the freshest fruit you can find and top with natural yoghurt.,“A handful of seeds and nuts takes this fruit salad recipe up a notch – a great snack or breakfast ”,4,5 minutes,Super easy,fruit-recipes,,242
Quick steamed treacle pudding,A super-quick treat,Jamie's quick steamed treacle pudding recipe makes a super-quick but beautifully sticky dessert; serve with cream or custard for an extra special dessert.,"“Because sometimes you've just got to have a proper, beautiful sticky pudding ”",8,30 minutes,Super easy,egg-recipes,,243
Christmas cake trifle,,Try this fantastically festive Christmas cake trifle recipe from Jamie magazine for an unusual yet delicious dessert filled with holiday flair.,"“This is a great way to use up leftover Christmas cake or pudding. The amounts given here are just a guide – adjust it according to how much leftover cake you have, and whatever fruits you have to hand. ”",6 to 8,30 minutes plus chilling,Not too tricky,fruit-recipes,,244
"Raspberry, agave & vanilla frozen yoghurt",,"Super-easy and so refreshing, this raspberry, agave and vanilla frozen yoghurt is a real winner on a hot summer's day. Agave nectar is used as a natural sweetener here.","“Agave nectar is a good substitute for sugar. Feel free to use plastic containers instead of moulds, if you prefer. ”",about 600ml,10 minutes plus 4 hours freezing,Super easy,fruit-recipes,,245
Mrs Oliver's massive retro trifle,"Strawberries, mandarins, custard & cream","This trifle recipe takes a while but is a Christmas tradition at Jamie's house; after all, no Christmas is complete without a massive retro trifle dessert!",“A really good trifle recipe never goes out of fashion. This fruity number's a Christmas tradition at our house – and it looks amazing when it's finished!  ”,20,25 minutes plus setting,Not too tricky,fruit-recipes,This trifle takes a bit of time but is well worth it. Make sure you allow each layer time to set completely in the fridge.,246
Cranachan raspberry cake,A gorgeous twist on a classic Scottish dessert,"A gorgeous twist on a classic Scottish dessert, this delicious cranachan raspberry cake with a hit of whisky uses frozen fruit so you can enjoy it year-round. The recipe is super easy too - enjoy!","“Although cranachan is more suited to the summer, this cake uses frozen berries, which are easily found in the colder months. ”",8,1 hour 10 minutes,Super easy,fruit-recipes,,247
Flourless chocolate cake,With a hit of coffee,"Avoid flour but lose none of the taste with this ridiculously easy, perfect flourless chocolate cake recipe from Jamie Oliver. Delicious with fresh fruit.",“Get your chocolate fix with this super-moreish flourless chocolate cake  ”,10,1 hour 30 minutes plus cooling,Not too tricky,chocolate-recipes,,248
Salted caramel fudge,,"Salted caramel is so on-trend right now, probably because it tastes so good! Learn how to make salted caramel fudge with this easy fudge recipe from Jamie.",,40 pieces,30 minutes plus chilling,Not too tricky,chocolate-recipes,,249
Prune & Armagnac cake,A chocolaty Christmas pudding alternative,"This prune and Armagnac cake is a great alternative to traditional Christmas cake;  Instead find a tasty chocolate cake loaded with boozy prunes, delicious!","“A twist on a brownie – loaded with boozy prunes. The longer you soak the fruit, the better! ”",10,1 hour 30 minutes,Not too tricky,chocolate-recipes,,250
Kugelhopf,,"A Kugelhopf is a yeasted bready cake originating from southern Germany and Austria, this festive recipe from Jamie Oliver ensures perfect results. ","“A soft sponge with warming hints of cardamom, this spiced fruit cake is found in Austria, Alsace, Germany and Switzerland.  ”",10,2 hours plus proving,Showing off,bread-recipes,"Not to be confused with fast-action dried yeast, which comes in sachets, dried active yeast comes in a tub. Unlike fast-action, it needs to be activated with warm liquid and sugar before adding to the mixture.",251
Kourabiethes,,"Kourabiethes are light melt-in-your-mouth shortbreads that are a popular Easter biscuit, make your own with this easy to follow recipe from Jamie Oliver.","“These light, melt-in-your-mouth shortbreads are a popular Easter biscuit. Great with coffee! ”",24,50 minutes,Super easy,uncategorised-recipes,,252
Leftovers affogato,With crumbled amaretti biscuits,Affogato is a quick fix pud that you can knock up easily in seconds; it's a great recipe to have up your sleeve if you need to rustle something up quick.,“Knock together this quick-fix affogato in just 45 seconds and reinvent any lovely leftover puds ”,1,5 minutes,Super easy,chocolate-recipes,,253
The ultimate fruit salad,With pineapple mint syrup,"This fresh fruit salad recipe by Jamie Oliver is the ultimate refreshing summer dessert with mixed fruit, syrup and pineapple mint leaves.","“Pineapple mint is great in all sorts of desserts, in antipasto, for marinating or with lamb. Try it chopped and sprinkled over ripe melon for a refreshing summer dessert.

 ”",4,10 minutes plus cooling time,Super easy,fruit-recipes,,254
